Pronomen + _sein_;"Аз съм
 Ти си
 Той е, Тя е, То е
 Ние сме
 Вие сте
 Те са";grammatik;1
Guten Tag!;Добър ден!;;2
Hallo!;"Здравейте! (förmlich)
 Здравей!";;3
"Gibt es…?

Gibt es ein freies Zimmer?
Ja, gibt es.";"Има ли…
 
 Има ли свободна стая?
 
 Да, има.";;4
Gibt es nicht / There aren't;"няма
 
 Не, няма!";;5
freies Apartment;свободен апартамент;;6
Sind Sie ein Tourist? Nein, ich bin kein Tourist. Ich bin Geschäftsmann.;"Турист ли сте?
 Не, не съм турист.
 Бизнесмен съм.";;7
Name;име;;8
You are welcome;Моля;;9
Bitte! | Wie bitte? | Pardon?;"Моля!
 Моля?";;10
Here you are / There you go;"заповядайте (formell)
 заповядай";;11
Wie heißen Sie? Ich heiße...;"Как се казвате? (formell) / Как се казваш?
 Казвам се…
 
 Казвам се Ралф Вестфал.";;12
Are you English? Yes, I’m English.;"Англичанин ли сте?
 Да, англичанин (англичанка) съм.";;13
Amerikaner(in);"американец
 американка";;14
Kanadier(in);"канадец
 канадка";;15
Deutscher;"немец
 германец";;16
Deutschland | aus Deutschland;"германия
 
 от германия";;17
Pass;паспорта;;18
Danke;"благодария
 мерси";;19
Woher (kommen Sie?);"Откъде (сте?)
 
 Откъде си? (informell)";;20
Wo;къде;;21
Wie / Wie geht es Ihnen?;"Как
 
 Как сте?
 Как си?";;22
Mir geht es gut;"Добре съм
 
 Аз съм добре";;23
Und Ihnen? (als Antwort auf: Wie geht es Ihnen?);"А Вие?
 
 А ти? (informell)";;24
Guten Morgen / Guten Abend;"добро утро
 Добър бечер";;25
Mann / Frau;"мъж (m)
 жена (f)";;26
Bulgare/in;"българин (m)
 българка (f)";;27
Museum;музей (m);;28
Kaffee, Café;кафе (n);;29
Menü, Speisekarte;меню (n);;30
Brief;писмо (n);;31
Meer;море (n);;32
Taxi;такси (n);;33
Platz;място (n);;34
Ich bin frei (m/f);"Свободен съм (m)
 Свободна съм (f)
 
 Da Adjektiv richtet sich nach dem Geschlecht des Sprechenden.";grammatik;35
Gut aussehend;"хубав
 хубава
 хубаво";;36
Fluss;"река (f)
 
 Има ли река в лондон?";;37
Adresse;адрес (m);;38
Bank;банка;;39
Bier;бира;;40
Computer;компютър;;41
Show;шоу;;42
Musik;музика;;43
Kalender;календар;;44
Problem;проблем;;45
Sport;спорт;;46
Firma;фирма;;47
Fußball;футбол;;48
Chauffeur;шофьор;;49
Drucker;принтер;;50
Büro;офис;;51
Video;видео;;52
Wörterbuch;речник;;53
Wochenende;уикенд;;54
angenehm, pleasant, nice;приятен;;55
beautiful, lovely, pretty, nice;"хубав
 
 хубав хотел
 
 хубаво море";;56
Aufgabe, Übung;упражнение;;57
Dies;"това (n)
този (m)
тази (f)

това кафе
този ресторант
тази жена";;58
Bitte, gern geschehen.;Моля, няма защо.;;59
Ich hätte gern...;Бих искал...;;60
to want / wollen;"искам
 
 искаш
 иска
 искаме
 искате
 искат";;61
Mineralwasser;минерална вода;;62
Limonade;лимонада;;63
Tee;чай;;64
oder;или;;65
reisen;пътувам;;66
verlassen, abreisen;тръгвам;;67
später;после;;68
(superlativ bilden);"най-…
 
 най-после";;69
endlich;най-после;;70
"ich auch / me too

Ich mag auch reisen.";"и аз (am Satzanfang)

И аз обичам да пътувам.";;71
Herr / Frau /Fräulein;"господин
 госпожа
 госпожица";;72
"auch

Sie sind auch hier.";"също

Те също са тук.";;73
viel, sehr;много;;74
werden;ставам;;75
Student(in);"студент
 студентка";;76
...ам Konjugation (reisen);"ам, аш, а, аме, ате, ат
 
Пътувам Пътуваш Пътува Пътуваме Пътувате Пътуват";grammatik;77
haben;"имам
 
 имаш ли ябълки?";;78
wollen;"искам
 
 Ще искам 1 килограм ябълки
 Ще искам …, моля.";;79
Futur-partikel;"ще 
 ще пътувам за Софиа";;80
Ich würde gern… (formal);"Бих искал…
 
 Бих искал една пържола, моля.";;81
Steak / Schnitzel;пържола;;82
Grammatik: Vokativ;"When a person or object is being addressed, a special form, called the  vocative, is used. The endings are -e for masculine nouns and -o (or -e) for feminine nouns. Here are examples of the most frequently used vocative forms, those for the  nouns meaning Mr., Mrs. and Miss. Note that the accent changes place in the
vocative of госпожа (госпожо!).
 
 господин / господин-е
 госпожа / госпож-о
 госпожица / госпожиц-е";grammatik;83
Grammatik: Plural;"Most masculine nouns, and practically all feminine nouns, form the plural by adding -и. Masculine nouns add this ending directly to the singular form, while feminine nouns _replace_ the singular ending -a by the ending -и.
 
 студент / студент-и  
 студентка / студентк-и";grammatik;84
oft;често;;85
Tomate;домат;;86
Luftzug;течение;;87
heute;днес;;88
"wehen, atmen, blasen

Es weht ein Luftzug.";"духам

духа течение.";;89
"was

Was ist течение""?""";"какво

какво е „течение?";;90
Can I have/get… / Is it possible to...;"Може ли…

Може ли меню, моля?
Може ли да дойда? (Can I come?)";;91
"hier <-> dort

hierher";"тук <-> там

тука";;92
leidtun / to regret / to be sorry;съшалявам;;93
wann;кога;;94
nicht haben;"нямам

нямам вода";;95
heute;днес;;96
etwas, something;нещо;;97
'was Neues;нещо ново;;98
nichts, nothing;нищо;;99
ankommen;пристигам;;100
"Stunde(n)

in/after 7 hours";"час, часа

след 7 часа";;101
auf/bei der Arbeit;на работа;;102
aber, allerdings nicht;но;;103
"kein Problem, da nich für""""";нищо;;104
everything/all;всичко;;105
jetzt;сега;;106
"pleasant, nice

angenehme Arbeit";"приятен

приятна работа";;107
"leicht

„leichte Arbeit!“ (kann man jmd wünschen, wenn man geht)";"лек

лека работа";;108
Good bye;довиждане;;109
bis;до;;110
sehen;виждам;;111
"o’clock

at 7 o'clock";"часа

в 7 часа";;112
"warum?

Warum bist du hier?";"защо

защо си тук?";;113
wieviel? how much? how many?;колко;;114
0,1,2,3,4,5,6,7,8,9,10;"нула
един
две
три
четири
пет
шест
седем
осем
девет
десет";;115
11,12,13,14,15,16,17,18,19;"единадесет / единайсет
дванадесет / дванайсет
тринадесет / …
четиринадесет
петнадесет
шестнадесет
седемнадесет
осемнадесет
деветнадесет";;116
20,21,22,...;"двадесет
двадесет и едно / двайсет и едно
двадесет и две
...";;117
30,40,50,...;"тридесет
читиридесет
петдесет
...";;118
Kellner;сервитьор;;119
"kommen, to come

can I come?";"идвам

да дойда

може ли да дойда?";;120
can I (do + verb);може ли (да + verb);;121
very fine / that’s alright;много добре;;122
Was ist das?;какво е това?;;123
Flugzeug;самолет;;124
for now / im Moment;засега;;125
schöner Tag (einen schönen Tag wünschen) / have a nice day;лек ден;;126
Have a good rest;приятна почивка;;127
all the best!;"вситчко хубаво

вситчко добро";;128
Haltestelle;спирка;;129
"Postamt

Entschuldigung, wo ist die Post?""""";"поща

Моля, къде има поща?""""";;130
Straße;улица;;131
Reservierung;резервация;;132
Gepäck;багаж;;133
Toilette, WC;тоалетна;;134
(An der) Information (Auskunft);(на) информацията;;135
Viel Spaß!;Приятно прекарване!;;136
falls, wenn;ако;;137
Frage;въпрос;;138
"Übersetzung/translation

Übersetzungsaufgabe";"превод

Упражнение за превод";;139
"bestellen/to order

Ich würde gern bestellen";"поръчвам

Бих искал да поръчвам";;140
Belegschaft/staff;персонал;;141
nur/just,only;само;;142
vielleicht/maybe;може би;;143
eventuell/maybe;евентуално (adv.);;144
"sicher/sure

Ich bin sicher.

Ich bin unsicher.";"сигурно (adv.)

Сигурен съм.
Аз съм сигурен.

Не съм сигурен.";;145
klappen (ugs.);ставам;;146
Arzt;лекар;;147
ungefähr;около;;148
"langweilig

Mir ist langweilig.";"скучен

Скучно ми е.";;149
"I like...

I like to travel";"обичам да...

обичам да пътувам";;150
to love;обичам;;151
read (mit Konjugation) -> reading;"Чета -> четене

чета, четеш, чете, четем, четете, четат";;152
write / writing;Пиша -> писане;;153
Exactly!;Точно!;;154
exakt;Точен;;155
"fahren / to drive

Ich fahre (ein) Auto
Ich fahre (ein) Fahrrad";"Карам

Карам кола
Карам колело";;156
Auto;кола;;157
Fahrrad;колело;;158
Ich liebe dich!;Обичам те!;;159
"Zug

mit dem Zug";"влак

с влак";;160
lang;дълъг;;161
Zugabteil;купе;;162
eng, voll;"тесен (adj.)
тясна
тясно
тесни";;163
Tür;врата;;164
geschlossen;затворен;;165
offen, geöffnet;отворен;;166
Platz, Sitz;мяасто;;167
öffnen;отварям;;168
"neben, bei, next to/by

Der Platz ist neben der Tür.
Der Korridor ist beim Abteil.";"до

Мястото е до вратата.
Коридорът е до купето.";;169
mittig, in der Mitte;среда;;170
Hier!;Ето!;;171
nett, höflich;любезен;;172
Tasche;чанта;;173
Koffer;куфар;;174
schwer;тежък;;175
groß;"голям
голяма
голямо
големи";;176
hungrig;гладен;;177
durstig;жаден;;178
Flasche;"бутилка
шише";;179
Dorf, countryside;село;;180
wunderbar;чудесен;;181
Gute Reise!;Приятно пътуване!;;182
"auf/bei der Arbeit sein

Ich bin bei der Arbeit";"на работа

На работа съм.";;183
Das ist für dich.;Това е за теб.;;184
"Es gibt etwas Neues.

Es gibt nichts Neues.";"Има нещо ново.

Няма нищо ново.";;185
Entschuldigung!;Извинете!;;186
"Hoppla! Oops!

Hoppla, Entschuldigung!";"Опа!

Опа, извинете!";;187
Willkommen!;Добре дошли!;;188
"stark, kräftig
stark im Geschmack";силен;;189
klein;малък, малка, малко;;190
Freund;приятел;;191
weiß;"бял
бяла
бяло
бели";;192
Bleistift;молив;;193
"Urlaub

im Urlaub";"отпуск

в отпуска";;194
in (in einem abgeschlossenen Bereich), oder auch mal: hinein;в;;195
"von (oder Genitiv)

Die Tür des Abteils ist geschlossen.
Ich bin ein Freund von John.
Das Buch ist von Nadka. / Das ist Nadkas Buch.";"на

Вратата на купето е затворена.
Прияател съм на Джон.
Книгата е на Надка.";;196
"auf, in

Du bist (sitzt) auf (Platz) 2.";"на

Ти си на номер две.";;197
"mit, mittels

Sie reisen mit dem Zug.";"с

Те пътуват с влак.";;198
heimisch, domestic, von zuhause, vom Haus;домашен;;199
Haus;къща;;200
"Schalterbeamte"", clerk/counter assistant""";служителка;;201
nah;"близо (adv.)

близък (adj.)";;202
Ladengeschäft;магазин;;203
"noch, mehr

another, one more";"още

още един";;204
Ich höre! Bitte, sprechen Sie!;кажете!;;205
Shopping center;търгровски център;;206
That's all.;Това е всичко.;;207
"So, achso/klar; auf diese Art (und Weise)

Klar, aus England.";"така

Така, от англия.";;208
"bedeuten

Das bedeutet, Sie sind Engländerin.";"знача

Значи сте англичанка.";;209
Beruf, profession;професията;;210
Übersetzer(in);"преводач
преводачка";;211
verheiratet sein;"женен (m), омъжена (w)

Омъжена ли сте?";;212
"Kind
Kinder

Ich habe ein Kind.";"дете
деца

Имам едно дете.";;213
Sohn;син;;214
Lehrer;учител;;215
"Mal

Sind Sie das erste Mal in Bulgarien?";"път

За първи път ли сте в България?";;216
"kennen

Ich kenne ihr Land gut.";"познавам

Познавам страната ви добре.";;217
Land;страната;;218
"interessant

Dies ist sehr interessant.";"интересен

Това е много интересно.";;219
Was ist er (von Beruf)?;"Какъв е той? (ugs.) / Каква е тя?

Каква професия имате?";;220
Bedeutung;значение;;221
geschieden;"разведен
разведена";;222
Großmutter;баба;;223
Vater;баща;;224
Bruder;брат;;225
Schwester;сестра;;226
Mutter;майка;;227
Großvater;дядо;;228
Tochter;дъщеря;;229
"Cousin
Cousine";"братовчед
братовчедка";;230
Glas (Material);стъкло;;231
gläsern, Glas-;стъклен;;232
Wand;стена;;233
(Sicht)Schutz, Trennwand;параван;;234
"mehrteilig, partitioned of

gläserne mehrteilige Trennwand";"преграден

стъклен преграден параван";;235
hoch, groß, tall;висок;;236
"neu

brandneu";"нов

чисто нов (ugs.)";;237
"mein,dein,  sein,ihr,  unser,euer,  ihr

mein Zimmer";"(Nomen mit best. Artikel) + ми,ти,  му,и,  ни,ви,  им

стаята ми";;238